timestamp,event_type,side,price,quantity,trend_strength,volume_ratio,capital_used,stop_loss,take_profit,fee,capital_after,rsi,adx,ema_fast,ema_slow,exit_reason,gross_pnl,net_pnl,funding_cost
163,ENTRY,short,3142.917755,0.0068691584326870175,STRONG,2.6657158737530993,7.199999999999999,3156.1220407142855,2849.4891835714284,0.00863568,29.99136432,49.424095830453815,37.396154313171735,3179.3866342770116,3181.1694892521623,,,,
2025-12-04 15:15:00,EXIT,short,3154.5439796939286,,,,,,,,29.902834315651628,,,,,STOP_LOSS,-0.07986237939661392,-0.08853000434837256,-0.0
860,ENTRY,long,3235.186785,0.006658288117241677,STRONG,2.4062169383920717,7.176680235756391,3216.429756428571,3652.0096421428566,0.008616322291049121,29.894217993360577,68.39430407057581,50.96414194246827,3210.4051537137725,3206.75248040779,,,,
2025-12-12 00:45:00,EXIT,long,3214.821541550357,,,,,,,,29.750058251667422,,,,,STOP_LOSS,-0.1355976584654919,-0.14415974169315482,0.0
1411,ENTRY,long,2997.3879449999995,0.007149809219030253,STRONG,4.714872098417012,7.140013980400181,2981.1982307142853,3357.159373571428,0.008572300784868458,29.741485950882552,77.65597093059056,34.61619774519737,2945.7031482588977,2940.137975225546,,,,
2025-12-17 15:30:00,EXIT,long,2979.7076315989284,,,,,,,,29.60655334669446,,,,,STOP_LOSS,-0.1264108677503222,-0.13493260418809053,0.0
1908,ENTRY,short,2998.53998,0.0038488006177287105,WEAK,1.2570794048888292,3.84885193507028,3008.5927228571427,2775.1456942857135,0.004616313010923294,29.601937033683537,12.581991651758855,40.82552678638118,3029.7562594316996,3034.094621517962,,,,
2025-12-22 22:45:00,EXIT,short,3007.0884264957144,,,,,,,,29.564406294012826,,,,,STOP_LOSS,-0.032901266153326475,-0.0375307396707111,-0.0
2354,ENTRY,short,2923.03775,0.007278636529898865,STRONG,1.68565945634936,7.095457510563078,2925.9779214285713,2857.700607142857,0.008510291738169355,29.555896002274658,34.79372033588933,56.74180478188144,2931.518334140388,2931.87555024065,,,,
2025-12-27 11:00:00,EXIT,short,2924.5149324678573,,,,,,,,29.53662953551491,,,,,STOP_LOSS,-0.010751874271872639,-0.019266466759750744,-0.0
